"","timestamp","HAB1","HAB2","HAB3","PU1","PU2","PU3","PU4","PU5","SAT1","SAT2","PEOU1","PEOU2","PEOU3","PEOU4","CONF1","CONF2","CONF3","PI1","PI2"
"58","7/9/2025 9:26:53",4,3,2,5,5,4,5,3,5,3,5,5,3,5,5,4,3,0,0
"59","7/9/2025 9:57:21",5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,2
"60","7/9/2025 10:09:57",4,5,5,5,5,5,5,4,4,5,5,4,3,5,3,3,4,1,4
"61","7/9/2025 10:31:35",5,2,1,4,4,2,3,3,3,3,4,3,5,3,3,3,4,0,0
"62","7/9/2025 10:47:18",3,5,5,5,5,2,5,5,5,5,2,2,1,5,5,4,5,1,0
"63","7/9/2025 14:24:42",4,3,3,5,4,4,4,3,4,4,4,4,2,3,4,4,4,0,0
"64","7/9/2025 20:07:05",5,5,5,5,5,5,5,3,4,5,5,4,1,5,4,4,5,1,3
"65","7/10/2025 1:56:14",4,4,1,3,4,3,5,5,4,4,3,3,3,3,3,3,3,0,0
"66","7/10/2025 3:32:03",3,5,3,1,1,3,2,3,4,4,3,2,2,5,5,4,4,1,4
"67","7/10/2025 4:27:04",3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,1,1
"68","7/10/2025 10:57:33",2,5,4,4,5,4,5,4,5,5,3,4,2,4,4,5,4,1,0
"69","7/10/2025 22:44:27",4,5,5,4,4,5,4,4,4,4,4,5,2,5,5,4,4,1,2
"70","7/10/2025 23:14:38",3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,0,0
"71","7/10/2025 23:48:37",4,3,5,4,5,5,4,4,4,5,4,5,3,5,4,5,4,1,4
"72","7/16/2025 9:06:46",4,5,4,4,5,4,3,4,5,4,4,5,2,5,4,5,4,1,2
"73","7/16/2025 9:06:58",3,4,5,5,5,5,5,4,4,4,5,4,1,5,5,5,4,1,2
"74","7/16/2025 9:11:53",5,4,4,5,4,4,4,4,4,4,5,4,2,4,5,4,4,1,2
"75","7/16/2025 9:13:16",3,4,4,3,3,4,4,3,3,4,4,4,3,4,3,2,3,1,4
"76","7/16/2025 9:13:41",3,4,3,4,3,3,4,3,4,4,3,4,3,3,4,3,3,1,5
"77","7/16/2025 9:18:30",4,5,4,4,3,3,4,4,4,4,4,3,2,4,4,3,3,1,0
"78","7/16/2025 9:20:33",4,4,5,5,5,5,5,4,4,4,5,4,3,5,4,4,4,1,3
"79","7/16/2025 9:20:45",2,1,1,5,5,5,5,5,4,4,5,5,2,5,5,4,4,0,0
"80","7/16/2025 9:24:45",5,4,5,5,4,5,4,5,4,5,5,5,2,5,4,5,4,1,3
"81","7/16/2025 9:29:55",5,4,5,5,5,4,5,4,5,5,5,4,1,5,5,4,5,1,4
"82","7/16/2025 9:32:18",4,5,5,5,5,5,5,5,4,4,5,4,1,5,4,5,5,1,2
"83","7/16/2025 10:07:03",3,4,4,4,4,5,4,4,4,5,5,2,2,4,4,4,4,1,2
"84","7/16/2025 11:18:31",4,5,5,5,5,5,4,4,5,5,5,5,1,4,5,5,5,1,3
"85","7/16/2025 11:23:25",4,5,5,5,5,4,3,3,5,5,4,5,3,5,5,5,5,1,3
"86","7/16/2025 14:48:58",4,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,4,1,5
"87","7/17/2025 3:05:23",3,2,1,4,4,4,4,3,4,4,4,3,5,4,4,3,5,0,0
"88","7/17/2025 4:39:44",3,4,1,5,5,5,5,5,5,5,5,5,1,5,5,3,4,1,0
